273,82,105,210,904,680,9,34.99
163,149,191,180,843,746,12,41.14
162,148,191,179,840,743,16,41.81
162,148,190,179,838,741,19,42.08
154,112,144,220,923,658,10,26.82
147,89,115,202,860,829,9,25.21
152,139,178,168,944,695,18,38.86
145,0,227,240,750,853,6,36.59
152,0,237,204,785,892,6,32.71
304,0,140,214,895,722,6,38.46
145,106,136,208,751,883,10,26.02
148,109,139,193,768,902,7,28.03
142,130,167,215,735,836,6,31.37
354,0,0,234,959,691,6,33.91
374,0,0,190,1013,730,7,32.44
159,116,149,175,953,720,15,34.05
153,0,239,200,1002,684,6,28.29
295,106,136,206,750,766,11,41.01
310,0,143,168,914,804,10,49.3
296,97,0,219,932,685,9,29.23
305,100,0,196,959,705,10,29.77
310,0,143,218,787,804,10,36.19
148,180,0,183,972,757,11,18.52
146,178,0,192,961,749,11,17.19
142,130,167,174,883,785,11,36.72
140,128,164,183,871,775,12,33.38
308,111,142,217,783,686,10,42.08
295,106,136,208,871,650,6,39.4
298,107,137,201,878,655,6,41.27
314,0,161,207,851,757,6,41.14
321,0,164,190,870,774,5,45.82
349,0,178,230,785,721,6,43.95
366,0,187,191,824,757,7,52.65
274,89,115,202,759,827,9,35.52
137,167,214,226,708,757,6,34.45
275,99,127,184,810,790,13,43.54
252,76,97,194,835,821,8,33.11
165,150,0,182,1023,729,12,18.26
158,0,246,174,1035,706,7,34.99
156,0,243,180,1022,698,11,33.78
145,177,227,209,752,715,11,35.66
154,141,181,234,797,683,11,33.51
160,146,188,203,829,710,11,33.51
291,105,0,205,859,797,6,27.62
298,107,0,186,879,815,6,30.97
318,126,0,210,861,737,6,31.77
280,92,118,207,883,679,9,37.39
287,94,121,188,904,696,9,43.01
332,0,170,160,900,806,6,58.53
326,0,167,174,884,792,6,52.65
320,0,163,188,866,776,9,45.69
342,136,0,225,770,747,11,32.04
356,142,0,193,801,778,11,36.46
309,0,142,218,912,680,10,38.59
322,0,149,186,951,709,8,45.42
159,193,0,208,821,818,12,19.19
307,110,0,189,904,765,10,31.5
313,124,0,205,846,758,11,29.63
143,131,168,217,891,672,6,26.42
140,128,164,237,869,656,6,29.5
278,0,117,205,875,799,9,32.71
288,0,121,177,908,829,7,39.93
299,107,0,210,881,745,10,28.29
291,104,0,231,857,725,9,30.43
265,86,111,195,833,790,6,37.39
159,0,248,175,1041,683,12,35.39
160,0,250,168,1049,688,12,37.66
166,0,260,183,859,827,13,40.34
320,127,164,211,721,723,6,46.36
336,134,0,222,756,787,6,31.9
276,90,116,180,870,768,9,44.08
313,112,0,220,794,789,10,28.16
322,116,0,196,818,813,10,29.77
294,106,136,207,747,778,6,41.27
146,106,137,209,875,765,6,27.89
149,109,139,193,892,780,6,28.7
159,0,187,176,990,789,11,32.57
261,78,100,201,864,761,9,34.18
140,1.4,198.1,174.9,1049.9,780.5,4.4,30.83
141.1,0.6,209.5,188.8,996.1,789.2,4.6,30.43
140.1,4.2,215.9,193.9,1049.5,710.1,4.7,26.42
140.1,11.8,226.1,207.8,1020.9,683.8,4.9,26.28
160.2,0.3,240,233.5,781,841.1,9.2,36.19
140.2,30.5,239,169.4,1028.4,742.7,5.3,36.32
140.2,44.8,234.9,171.3,1047.6,704,5.5,33.78
140.5,61.1,238.9,182.5,1017.7,681.4,5.7,30.97
143.3,91.8,239.8,200.8,964.8,647.1,6.2,27.09
194.3,0.3,240,234.2,780.6,811.3,8.9,38.46
150.4,110.9,239.7,168.1,1000.2,667.2,6.5,37.92
150.3,111.4,238.8,167.3,999.5,670.5,6.5,38.19
155.4,122.1,240,179.9,966.8,652.5,6.7,35.52
165.3,143.2,238.3,200.4,883.2,652.6,7.1,32.84
303.8,0.2,239.8,236.4,780.1,715.3,8.3,44.48
172,162.1,238.5,166,953.3,641.4,7.4,41.54
172.8,158.3,239.5,166.4,952.6,644.1,7.4,41.81
184.3,153.4,239.2,179,920.2,640.9,7.5,41.01
215.6,112.9,239,198.7,884,649.1,7.4,39.13
295.3,0,239.9,236.2,780.3,722.9,8.3,44.08
248.3,101,239.1,168.9,954.2,640.6,7.7,49.97
248,101,239.9,169.1,949.9,644.1,7.7,50.23
258.8,88,239.6,175.3,938.9,646,7.6,50.5
297.1,40.9,239.9,194,908.9,651.8,7.5,49.17
348.7,0.1,223.1,208.5,786.2,758.1,9.6,48.77
